CGY, L, Dryden, Hunt, 8478211, CAN
CGY, C, Nazem, Kadri, 8475172, CAN
CGY, C, Justin, Kirkland, 8477993, CAN
CGY, R, Adam, Klapka, 8483609, CZE
CGY, L, Ryan, Lomberg, 8479066, CAN
CGY, R, Anthony, Mantha, 8477511, CAN
CGY, C, Martin, Pospisil, 8481028, SVK
CGY, C, Kevin, Rooney, 8479291, USA
CGY, C, Yegor, Sharangovich, 8481068, BLR
CGY, C, Connor, Zary, 8482074, CAN
CGY, D, Rasmus, Andersson, 8478397, SWE
CGY, D, Kevin, Bahl, 8480860, CAN
CGY, D, Jake, Bean, 8479402, CAN
CGY, D, Joel, Hanley, 8477810, CAN
CGY, D, Daniil, Miromanov, 8482624, RUS
CGY, D, Brayden, Pachal, 8481167, CAN
CGY, D, Ilya, Solovyov, 8482470, BLR
CGY, D, MacKenzie, Weegar, 8477346, CAN
CGY, G, Dan, Vladar, 8478435, CZE
CGY, G, Dustin, Wolf, 8481692, USA
NYR, R, Nicolas, Aube-Kubel, 8477979, CAN
NYR, L, Brett, Berard, 8482132, USA
NYR, C, Jonny, Brodzinski, 8477380, USA
NYR, C, Sam, Carrick, 8475842, CAN
NYR, L, Will, Cuylle, 8482157, CAN
NYR, C, Adam, Edstrom, 8481726, SWE
NYR, R, Arthur, Kaliyev, 8481560, UZB
NYR, L, Chris, Kreider, 8475184, USA
NYR, L, Alexis, Lafrenière, 8482109, CAN
NYR, L, J.T., Miller, 8476468, USA
NYR, L, Brennan, Othmann, 8482747, CAN
NYR, L, Artemi, Panarin, 8478550, RUS
NYR, C, Juuso, Parssinen, 8481704, FIN
NYR, C, Matt, Rempe, 8482460, CAN
NYR, C, Vincent, Trocheck, 8476389, USA
NYR, C, Mika, Zibanejad, 8476459, SWE
NYR, D, Will, Borgen, 8478840, USA
NYR, D, Calvin, de Haan, 8475177, CAN
NYR, D, Adam, Fox, 8479323, USA
NYR, D, Zac, Jones, 8481708, USA
NYR, D, K'Andre, Miller, 8480817, USA
NYR, D, Braden, Schneider, 8482073, CAN
NYR, D, Carson, Soucy, 8477369, CAN
NYR, D, Urho, Vaakanainen, 8480001, FIN
NYR, G, Jonathan, Quick, 8471734, USA
NYR, G, Igor, Shesterkin, 8478048, RUS
UTA, C, Nick, Bjugstad, 8475760, USA
UTA, L, Michael, Carcone, 8479619, CAN
UTA, C, Logan, Cooley, 8483431, USA
UTA, L, Lawson, Crouse, 8478474, CAN
UTA, R, Josh, Doan, 8482659, USA
UTA, R, Dylan, Guenther, 8482699, CAN
UTA, C, Barrett, Hayton, 8480849, CAN
UTA, C, Clayton, Keller, 8479343, USA
UTA, C, Alexander, Kerfoot, 8477021, CAN
UTA, L, Matias, Maccelli, 8481711, FIN
UTA, C, Jack, McBain, 8480855, CAN
UTA, C, Liam, O'Brien, 8477070, CAN
UTA, C, Nick, Schmaltz, 8477951, USA
UTA, C, Kevin, Stenlund, 8478831, SWE
UTA, R, Kailer, Yamamoto, 8479977, USA
UTA, D, Robert, Bortuzzo, 8474145, CAN
UTA, D, Ian, Cole, 8474013, USA
UTA, D, Nick, DeSimone, 8480084, USA
UTA, D, Michael, Kesselring, 8480891, USA
UTA, D, John, Marino, 8478507, USA
UTA, D, Olli, Määttä, 8476874, FIN
UTA, D, Mikhail, Sergachev, 8479410, RUS
UTA, G, Karel, Vejmelka, 8478872, CZE
UTA, G, Matt, Villalta, 8480191, CAN
MTL, R, Josh, Anderson, 8476981, CAN
MTL, R, Joel, Armia, 8476469, FIN
MTL, R, Cole, Caufield, 8481540, USA
MTL, C, Kirby, Dach, 8481523, CAN
MTL, C, Christian, Dvorak, 8477989, USA
MTL, C, Jake, Evans, 8478133, CAN
MTL, R, Brendan, Gallagher, 8475848, CAN
MTL, L, Emil, Heineman, 8482476, SWE
MTL, R, Patrik, Laine, 8479339, FIN
MTL, C, Alex, Newhook, 8481618, CAN
MTL, L, Michael, Pezzetta, 8479543, CAN
MTL, R, Joshua, Roy, 8482749, CAN
MTL, L, Juraj, Slafkovský, 8483515, SVK
MTL, C, Nick, Suzuki, 8480018, CAN
MTL, D, Alexandre, Carrier, 8478851, CAN
MTL, D, Kaiden, Guhle, 8482087, CAN
MTL, D, Lane, Hutson, 8483457, USA
MTL, D, Mike, Matheson, 8476875, CAN
MTL, D, David, Savard, 8475233, CAN
MTL, D, Jayden, Struble, 8481593, USA
MTL, D, Arber, Xhekaj, 8482964, CAN
MTL, G, Jakub, Dobes, 8482487, CZE
MTL, G, Sam, Montembeault, 8478470, CAN
CBJ, C, Zachary, Aston-Reese, 8479944, USA
CBJ, R, Yegor, Chinakhov, 8482475, RUS
CBJ, R, Justin, Danforth, 8479941, CAN
CBJ, C, Adam, Fantilli, 8484166, CAN
CBJ, R, Christian, Fischer, 8478432, USA
CBJ, C, Boone, Jenner, 8476432, CAN
CBJ, C, Kent, Johnson, 8482660, CAN
CBJ, C, Luke, Kunin, 8479316, USA
CBJ, C, Sean, Kuraly, 8476374, USA
CBJ, R, Kevin, Labanc, 8478099, USA
CBJ, R, Kirill, Marchenko, 8480893, RUS
CBJ, C, Sean, Monahan, 8477497, CAN
CBJ, R, Mathieu, Olivier, 8479671, USA
CBJ, C, Cole, Sillinger, 8482705, USA
CBJ, L, James, van Riemsdyk, 8474037, USA
CBJ, L, Dmitri, Voronkov, 8481716, RUS
CBJ, R, Jack, Williams, 8485469, USA
CBJ, D, Jake, Christiansen, 8481161, CAN
CBJ, D, Dante, Fabbro, 8479371, CAN
CBJ, D, Erik, Gudbranson, 8475790, CAN
CBJ, D, Jordan, Harris, 8480887, USA
CBJ, D, Jack, Johnson, 8471677, USA
CBJ, D, Denton, Mateychuk, 8483485, CAN
CBJ, D, Ivan, Provorov, 8478500, RUS
CBJ, D, Damon, Severson, 8476923, CAN
CBJ, D, Zach, Werenski, 8478460, USA
CBJ, G, Elvis, Merzlikins, 8478007, LVA
CBJ, G, Daniil, Tarasov, 8480193, RUS
NYI, C, Mathew, Barzal, 8478445, CAN
NYI, C, Casey, Cizikas, 8475231, CAN
NYI, L, Anthony, Duclair, 8477407, CAN
NYI, L, Pierre, Engvall, 8478115, SWE
NYI, R, Hudson, Fasching, 8477392, USA
NYI, C, Marc, Gatcomb, 8483553, USA
NYI, R, Simon, Holmstrom, 8481601, SWE
NYI, C, Bo, Horvat, 8477500, CAN
NYI, L, Anders, Lee, 8475314, USA
NYI, C, Kyle, MacLean, 8481237, USA
NYI, L, Matt, Martin, 8474709, CAN
NYI, C, Jean-Gabriel, Pageau, 8476419, CAN
NYI, C, Kyle, Palmieri, 8475151, USA
NYI, R, Maxim, Tsyplakov, 8484958, RUS
NYI, D, Adam, Boqvist, 8480871, SWE
NYI, D, Tony, DeAngelo, 8477950, USA
NYI, D, Noah, Dobson, 8480865, CAN
NYI, D, Scott, Mayfield, 8476429, USA
NYI, D, Adam, Pelech, 8476917, CAN
NYI, D, Scott, Perunovich, 8481059, USA
NYI, D, Ryan, Pulock, 8477506, CAN
NYI, D, Mike, Reilly, 8476422, USA
NYI, D, Alexander, Romanov, 8481014, RUS
NYI, G, Marcus, Hogberg, 8477405, SWE
NYI, G, Ilya, Sorokin, 8478009, RUS
NYI, G, Semyon, Varlamov, 8473575, RUS
DET, R, Jonatan, Berggren, 8481013, SWE
DET, L, J.T., Compher, 8477456, USA
DET, C, Andrew, Copp, 8477429, USA
DET, R, Alex, DeBrincat, 8479337, USA
DET, R, Patrick, Kane, 8474141, USA
DET, C, Marco, Kasper, 8483464, AUT
DET, C, Dylan, Larkin, 8477946, USA
DET, L, Carter, Mazur, 8482802, USA
DET, C, Tyler, Motte, 8477353, USA
DET, C, Michael, Rasmussen, 8479992, CAN
DET, L, Lucas, Raymond, 8482078, SWE
DET, R, Dominik, Shine, 8479942, USA
DET, C, Craig, Smith, 8475225, USA
DET, L, Elmer, Soderblom, 8481725, SWE
DET, R, Vladimir, Tarasenko, 8475765, RUS
DET, L, Austin, Watson, 8475766, USA
DET, D, Ben, Chiarot, 8475279, CAN
DET, D, Simon, Edvinsson, 8482762, SWE
DET, D, Erik, Gustafsson, 8476979, SWE
DET, D, Justin, Holl, 8475718, USA
DET, D, Albert, Johansson, 8481607, SWE
